instituicao_id;st_funcionamento_gn;instituicao_name;cnpj_mantenedora;razao_social
21896;10035;FACULDADE MAURÍCIO DE NASSAU DE DIVINÓPOLIS;04986320000113;SER EDUCACIONAL S.A.
21398;10035;FACULDADE MAURÍCIO DE NASSAU DE IMPETRATRIZ;04986320000113;SER EDUCACIONAL S.A.
1457;10035;Faculdade Estácio de Cotia;02608755000107;IREP SOCIEDADE DE ENSINO SUPERIOR, MEDIO E FUNDAMENTAL LTDA.
1484;10035;FACULDADE IBMEC;04298309000160;IBMEC EDUCACIONAL LTDA.
17928;10035;Faculdade Aliança Educacional do Estado de São Paulo;15492008000190;CENTRO TECNOLOGICO DE ITAPEVI LTDA
940;10035;Faculdades Magsul;01998483000128;ASSOCIACAO DE ENSINO SUPERIOR PONTAPORANENSE-AESP
15401;10035;Faculdade FIPECAFI;46359865000140;FUNDACAO INSTITUTO DE PESQUISAS CONTABEIS, ATUARIAIS E FINANCEIRAS - FIPECAFI
12247;10035;Instituto Brasileiro de Ensino, Desenvolvimento e Pesquisa de Brasília;02474172000122;INSTITUTO BRASILIENSE DE DIREITO PUBLICO IDP LTDA
1280;10034;Faculdade Estácio Cotia;02608755000107;IREP SOCIEDADE DE ENSINO SUPERIOR, MEDIO E FUNDAMENTAL LTDA.
21367;10034;FACULDADE MAURÍCIO DE NASSAU DE CAMPINAS;04302037000125;SOCIEDADE PAULISTA DE ENSINO E PESQUISA S/S LTDA
12421;10034;FACULDADES COC DE SÃO PAULO;07195358000166;SOCIEDADE DE ENSINO SUPERIOR ESTACIO RIBEIRAO PRETO LTDA
1508;10035;Centro Universitário Metropolitano de Maringá;03125509000159;UNIFAMMA - UNIAO DE FACULDADES METROPOLITANAS DE MARINGA LTDA
3516;10035;FACULDADE DE CIÊNCIAS DA SAÚDE ARCHIMEDES THEODORO;17708520000156;FUNDACAO EDUCACIONAL DE ALEM PARAIBA
5362;10035;Faculdade UNIRB - ARACAJU;07488169000181;UNIAO BRASILEIRA DE EDUCACAO LTDA
349;10035;CENTRO UNIVERSITÁRIO DE BELO HORIZONTE;08446503000105;IEDUC - INSTITUTO DE EDUCACAO E CULTURA S/A
3963;10034;INSTITUTO SUPERIOR DE EDUCAÇÃO CARLOS CHAGAS;17708520000156;FUNDACAO EDUCACIONAL DE ALEM PARAIBA
1122;10035;FACULDADE REGES DE OSVALDO CRUZ;53312898000108;ASSOCIACAO DE ENSINO SUPERIOR DE OSVALDO CRUZ
15753;10035;FACULDADE DE TECNOLOGIA NILO DE STÉFANI - JABOTICABAL;62823257000109;CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA
1879;10035;Centro Universitário UNIFACEAR;79613030000123;ASSENAR - ENSINO DE ARAUCARIA LTDA - ME
21822;10035;FACULDADE TORRICELLI;25988756000111;FACULDADE DE ENSINO GUARULHENSE SS LTDA
1789;10035;FACULDADE CATUAÍ;03323335000139;AEC - ASSOCIACAO DE ENSINO DE CAMBE
19272;10034;Faculdade Pitagoras de Campina Grande;38733648000140;EDITORA E DISTRIBUIDORA EDUCACIONAL S/A
521;10035;UNIVERSIDADE DE MOGI DAS CRUZES;52562758000117;ORGANIZACAO MOGIANA DE EDUCACAO E CULTURA SOCIEDADE SIMPLES LIMITADA
22131;10034;CENTRO DE ENSINO SUPERIOR DO TOCANTINS;37174034000102;INSTITUTO EURO-AMERICANO DE EDUCACAO, CIENCIA E TECNOLOGIA S.A.
20682;10035;Faculdade IDOR de Ciências Médicas;12433137000119;INSTITUTO D'OR DE PESQUISA E ENSINO
18676;10035;Faculdade Uninassau Palmas;04986320000113;SER EDUCACIONAL S.A.
4037;10035;CENTRO UNIVERSITÁRIO PITÁGORAS DE FORTALEZA;01224108000120;PSES SERVICOS EDUCACIONAIS LTDA.
27;10035;Centro Universitário Vale do Rio Verde;25872854000199;FUNDACAO COMUNITARIA TRICORDIANA DE EDUCACAO
1931;10035;INSTITUTO DE ENSINO SUPERIOR FRANCISCANO;10187537000166;H. M. SIMOES CARNEIRO - ME
17553;10035;Faculdades FAMEP Unidade Lago da Pedra - MA;06326604000109;SOCIEDADE EDUCACIONAL FAMEP LTDA - ME
16691;10035;Faculdade NETCOM;05108721000133;NETCOM TREINAMENTOS E SOLUCOES TECNOLOGICAS LTDA - EPP
322;10035;UNIVERSIDADE PAULISTA;06099229000101;ASSUPERO ENSINO SUPERIOR LTDA.
2779;10035;FACULDADE DE INFORMÁTICA DE OURO PRETO DO OESTE;04892637000190;ESCOLAS UNIDAS DE OURO PRETO DO OESTE - UNEOURO
18164;10034;Faculdade Estácio de Bauru;03536667000100;SOCIEDADE EDUCACIONAL ATUAL DA AMAZONIA LTDA
20666;10035;Faculdade ELO;22269052000109;CENTRO EDUCACIONAL E DESPORTIVO ELO LTDA. - ME
17887;10035;Faculdade de Ciências Médicas de São José dos Campos;17052594000187;SAO JOSE DOS CAMPOS EDUCACIONAL LTDA
18958;10035;FACULDADES INTEGRADAS QUALIS;20621394000102;MOSCATO EDUCACAO SUPERIOR LTDA
712;10035;CENTRO UNIVERSITÁRIO IBMR;42365445000115;INSTITUTO BRASILEIRO DE MEDICINA DE REABILITACAO LTDA
12723;10035;FACULDADE FINACI;04561637000108;INSTITUTO NACIONAL DE CURSOS INTEGRADOS LTDA
21239;10035;Faculdade Anhanguera de Jaú;38733648000140;EDITORA E DISTRIBUIDORA EDUCACIONAL S/A
14878;10035;TREVISAN ESCOLA SUPERIOR DE NEGÓCIOS-;03195861000160;FACULDADE TREVISAN LTDA
4289;10035;FACULDADE DO VALE ELVIRA DAYRELL - FAVED;38368001000166;EDUCARE SISTEMA EDUCACIONAL DE ENSINO SUPERIOR LTDA
3027;10034;FACULDADE DE IBIPORÃ;19347410000131;UNIESP S.A
22015;10035;Faculdade Municipal de Educação e Meio Ambiente;76161199000100;MUNICIPIO DE CLEVELANDIA
22155;10034;Faculdade de Ciências Jurídicas de Tianguá;38733648000140;EDITORA E DISTRIBUIDORA EDUCACIONAL S/A
